task_id,mec_id,distance_m,link_distance_3d_m,elevation_deg,los_probability,los_state,free_space_path_loss_db,path_loss_offset_db,path_loss_db,channel_gain,ul_rate_mbps,dl_rate_mbps,ul_available,dl_available,mec_available
17,1,10490.869318007572,10491.555606653985,0.6553502378305271,0.024232061348534072,average_los_nlos,118.88518087100294,0.0,138.4247717053808,1.437218601322872e-14,0.6175954401514716,4.553377647550194,0,0,0
17,2,5226.366966406451,5227.744414902528,1.315308655084049,0.02685829915125088,average_los_nlos,112.83467006945087,0.0,132.3243623855771,5.85549698160412e-14,2.429120464805545,13.851073078890506,0,1,0
17,3,1680.6960094303058,1684.9745031053005,4.0839305713366905,0.0412106241272799,average_los_nlos,103.00024980614157,0.0,122.21724794772325,6.001712743867552e-13,18.065376295836774,45.13927515305671,1,1,1
18,1,9569.273361189953,9570.02573983893,0.7184592720961863,0.024471964586277338,average_los_nlos,118.08664525257026,0.0,137.62167792543102,1.7291481623227504e-14,0.741267249487857,5.3481100984780605,0,0,0
18,2,4527.717519279715,4529.307445337803,1.5181787151099053,0.02771983898982754,average_los_nlos,111.58901915925236,0.0,131.06234221844562,7.830072407525501e-14,3.1995745288683457,16.800034320295136,0,1,0
18,3,2133.3055023005254,2136.6778807638966,3.2195368099202097,0.03607969656203145,average_los_nlos,105.06316421811427,0.0,124.37764998343566,3.6495137282187286e-13,12.385542311554833,37.33097977726577,0,1,0
19,1,8191.073026533075,8191.95198508864,0.8393285834101859,0.024937918894002053,average_los_nlos,116.73613109795396,0.0,136.2623106389679,2.3646612582360373e-14,1.008473821858942,6.961514719468702,0,0,0
19,2,3369.647519912017,3371.783564888056,2.039557304300701,0.03005894383612899,average_los_nlos,109.025576924018,0.0,128.45445699113154,1.4274282938111662e-13,5.5659227712666315,23.947759768037976,0,1,0
19,3,3768.9938368043627,3770.9036770871344,1.8236091673833288,0.02906776761195194,average_los_nlos,109.99729191616423,0.0,129.44500433153715,1.1363171643343591e-13,4.523562805539223,21.077019856507725,0,1,0
20,1,10533.566889858488,10534.250396830475,0.6526940209483881,0.0242220144363159,average_los_nlos,118.9204558797451,0.0,138.46023760545512,1.4255295997778948e-14,0.6126312762393386,4.520783814143488,0,0,0
20,2,5173.62122679593,5175.012714801136,1.3287136144233909,0.02691441439439031,average_los_nlos,112.7466115586549,0.0,132.23523768516148,5.97690332780831e-14,2.477156935709151,14.047627368179851,0,1,0
20,3,2585.968300821253,2588.751060425154,2.656863494591284,0.03307618840854986,average_los_nlos,106.73018893117829,0.0,126.10174135141584,2.45372487048474e-13,8.93905654583001,31.40823590574977,0,1,0
